2010-02-05;13:00:00;0;86;1020.9;-0.7
2010-02-05;14:00:00;0;86;1020.3;-0.2
2010-02-05;15:00:00;0;87;1020.1;0.3
2010-02-05;16:00:00;0;88;1020.1;0.3
2010-02-05;17:00:00;0;89;1019.9;-0.4
2010-02-05;18:00:00;0;90;1019.9;-1.1
2010-02-05;19:00:00;0;91;1020.2;-1.2
2010-02-05;20:00:00;0;85;1020.6;-0.4
2010-02-05;21:00:00;0;88;1020.9;-1.8
2010-02-05;22:00:00;0;90;1021.2;-2.5
2010-02-05;23:00:00;0;87;1021.5;-2
2010-02-06;00:00:00;0;87;1021.9;-2.2
2010-02-06;01:00:00;0;88;1022;-2.4
2010-02-06;02:00:00;0;88;1022.3;-2.6
2010-02-06;03:00:00;0;87;1022;-2.2
2010-02-06;04:00:00;0;89;1022.2;-2.6
2010-02-06;05:00:00;0;90;1022.5;-3.6
2010-02-06;06:00:00;0;91;1022.7;-4.3
2010-02-06;07:00:00;0;91;1023.2;-6
2010-02-06;08:00:00;0;93;1024.1;-6.3
2010-02-06;09:00:00;0;91;1024.6;-5.4
2010-02-06;10:00:00;0;88;1024.7;-3.6
2010-02-06;11:00:00;0;86;1024.9;-3.5
2010-02-06;12:00:00;0;83;1025.1;-2
2010-02-06;13:00:00;0;82;1025.2;-1.9
2010-02-06;14:00:00;0;83;1025.5;-2.2
2010-02-06;15:00:00;0;85;1025.8;-2.9
2010-02-06;16:00:00;0;87;1026.2;-3.3
2010-02-06;17:00:00;0;89;1026.4;-4
2010-02-06;18:00:00;0;91;1026.9;-5
2010-02-06;19:00:00;0;91;1027.3;-3.9
2010-02-06;20:00:00;0;90;1027.8;-4.3
2010-02-06;21:00:00;0;91;1028.2;-4
2010-02-06;22:00:00;0;89;1028.3;-4
2010-02-06;23:00:00;0;89;1028.5;-4.1
2010-02-07;00:00:00;0;88;1028.6;-4.3
2010-02-07;01:00:00;0;88;1028.3;-4.6
2010-02-07;02:00:00;0;88;1028.5;-4.7
2010-02-07;03:00:00;0;89;1028.5;-4.8
2010-02-07;04:00:00;0;88;1028.5;-4.7
2010-02-07;05:00:00;0;88;1028.2;-4.7
2010-02-07;06:00:00;0;88;1028.1;-4.7
2010-02-07;07:00:00;0;89;1028;-4.5
2010-02-07;08:00:00;0;88;1028;-4.1
2010-02-07;09:00:00;0;89;1028.1;-3.9
2010-02-07;10:00:00;0;89;1028.4;-3.5
2010-02-07;11:00:00;0;89;1028.2;-3.6
2010-02-07;12:00:00;0;89;1027.8;-3.2
2010-02-07;13:00:00;0;89;1027.5;-3.1
2010-02-07;14:00:00;0;89;1026.9;-2.8
2010-02-07;15:00:00;0;90;1026.5;-3.2
2010-02-07;16:00:00;0;91;1026.1;-3
2010-02-07;17:00:00;0;91;1025.8;-3
2010-02-07;18:00:00;0;92;1025.7;-3.1
2010-02-07;19:00:00;0;93;1025.4;-3.3
2010-02-07;20:00:00;0;93;1024.9;-3.6
2010-02-07;21:00:00;0;94;1024.5;-3.9
2010-02-07;22:00:00;0;95;1024.3;-4.4
2010-02-07;23:00:00;0;96;1024;-4.7
2010-02-08;00:00:00;0;96;1023.4;-4.5
2010-02-08;01:00:00;0;96;1022.9;-4.4
2010-02-08;02:00:00;0;96;1022.4;-4.5
2010-02-08;03:00:00;0;96;1021.4;-4.7
2010-02-08;04:00:00;0;96;1021;-5
2010-02-08;05:00:00;0;96;1020.5;-4.7
2010-02-08;06:00:00;0;96;1019.8;-4.5
2010-02-08;07:00:00;0;96;1019.1;-3.8
2010-02-08;08:00:00;0;95;1018.6;-2.7
2010-02-08;09:00:00;0;92;1018.2;-2.1
2010-02-08;10:00:00;0;88;1017.6;-1.7
2010-02-08;11:00:00;0;86;1017.2;-1.4
2010-02-08;12:00:00;0;85;1016.5;-0.9
2010-02-08;13:00:00;0;88;1015.9;-1.1
2010-02-08;14:00:00;0;90;1015.1;-1.3
2010-02-08;15:00:00;0;92;1014.7;-1.2
2010-02-08;16:00:00;0;92;1014.3;-1.4
2010-02-08;17:00:00;0;92;1013.9;-1.5
2010-02-08;18:00:00;0;93;1013.7;-2
2010-02-08;19:00:00;0;93;1013.3;-1.8
2010-02-08;20:00:00;0;92;1012.9;-1.9
2010-02-08;21:00:00;0;92;1013;-2
2010-02-08;22:00:00;0;92;1012.7;-2.1
2010-02-08;23:00:00;0;90;1012.3;-2.2
2010-02-09;00:00:00;0;89;1012.2;-2.4
2010-02-09;01:00:00;0;90;1011.7;-2.6
2010-02-09;02:00:00;0;90;1011.5;-2.7
2010-02-09;03:00:00;0;92;1011.4;-3.1
2010-02-09;04:00:00;0;93;1011.4;-3.4
2010-02-09;05:00:00;0;94;1011.2;-3.7
2010-02-09;06:00:00;0;94;1011.1;-3.9
2010-02-09;07:00:00;0;93;1011.4;-3.9
2010-02-09;08:00:00;0;93;1011.6;-4
2010-02-09;09:00:00;0;93;1011.8;-4
2010-02-09;10:00:00;0;92;1012.1;-4.1
2010-02-09;11:00:00;0;91;1011.9;-3.9
2010-02-09;12:00:00;0;91;1011.8;-3.9
2010-02-09;13:00:00;0;91;1011.9;-3.9
2010-02-09;14:00:00;0;90;1011.9;-4.1
2010-02-09;15:00:00;0;91;1012.1;-4.2
2010-02-09;16:00:00;0;89;1012.5;-4.1
2010-02-09;17:00:00;0;88;1012.9;-4.1
2010-02-09;18:00:00;0;89;1013.2;-4.1
2010-02-09;19:00:00;0;90;1013.8;-5.2
2010-02-09;20:00:00;0;92;1014.3;-5.4
2010-02-09;21:00:00;0;92;1014.8;-5.1
2010-02-09;22:00:00;0;91;1015.3;-4.9
2010-02-09;23:00:00;0;92;1015.6;-4.6
2010-02-10;00:00:00;0;91;1016;-4.1
2010-02-10;01:00:00;0;88;1016.4;-3.6
2010-02-10;02:00:00;0;91;1016.7;-4
2010-02-10;03:00:00;0;91;1017;-3.6
2010-02-10;04:00:00;0;88;1017.5;-3.5
2010-02-10;05:00:00;0;88;1017.9;-3.4
